result,material_balance,piece_mobility,control_of_center_small,control_of_center_large
1-0,1,33,10,10
1-0,1,47,-10,-10
1-0,5,38,20,10
1-0,5,22,0,10
0-1,-2,0,10,0
1-0,3,3,0,-10
1-0,2,26,0,10
1-0,9,29,-20,-20
1-0,19,4,-20,-40
1-0,23,0,-10,0
0-1,1,23,0,-10
0-1,-5,31,0,-10
0-1,-4,23,20,20
0-1,-10,28,10,-10
0-1,-13,0,0,-10
0-1,1,27,0,10
0-1,-1,21,10,10
0-1,2,5,0,0
0-1,11,26,0,0
1-0,3,32,0,20
1-0,1,19,10,20
0-1,-1,18,0,0
0-1,3,10,0,0
0-1,-8,29,0,-10
0-1,-9,1,0,0
1-0,-1,39,10,-10
1-0,-7,45,-10,-20
1-0,-11,34,-10,-10
1-0,-14,35,-10,-20
0-1,4,39,-20,-10
0-1,-4,29,0,10
0-1,-7,5,-20,-10
1-0,12,3,0,10
1-0,4,23,0,0
1-0,8,18,-10,-20
1-0,5,2,0,-20
1-0,7,29,20,20
1-0,5,13,0,0
1-0,6,3,0,0
1-0,7,5,0,0
1-0,7,5,0,0
1-0,1,34,-10,0
1-0,3,18,0,20
1-0,-1,6,-10,-20
1-0,-1,5,-20,-10
0-1,-1,41,-20,0
0-1,3,23,0,10
0-1,2,17,0,10
0-1,2,0,10,10
1-0,2,27,10,20
1-0,-2,0,-10,-10
0-1,1,29,10,0
0-1,3,26,20,20
0-1,3,26,20,50
0-1,2,0,0,40
1-0,1,26,10,30
1-0,8,2,10,20
1-0,8,14,10,10
1-0,-4,4,0,20
1-0,-2,16,-10,10
1-0,-2,11,-20,0
1-0,-2,8,-20,0
1/2-1/2,1,27,10,20
1/2-1/2,-1,15,0,10
1/2-1/2,-1,15,0,20
1-0,-1,45,10,0
1-0,-1,35,0,-10
0-1,3,32,10,0
0-1,1,26,10,0
0-1,1,9,20,0
0-1,-1,7,-10,-20
0-1,-3,43,-10,0
0-1,-4,42,0,0
0-1,-4,2,0,-10
1-0,-3,27,0,-10
1-0,-6,21,0,0
1-0,-6,25,0,0
0-1,-3,39,10,20
0-1,-6,40,0,-20
0-1,-4,38,-10,10
0-1,-11,27,-20,-20
0-1,-21,0,-10,-10
1-0,2,39,0,0
1-0,-1,21,-10,-20
1-0,2,13,-10,-20
1-0,2,19,0,-20
1-0,8,4,0,0
1-0,11,0,0,-10
1-0,-1,33,-10,-30
0-1,3,30,10,-10
0-1,1,18,10,-10
0-1,1,22,0,-30
0-1,-13,26,0,-10
1-0,1,23,20,20
0-1,2,30,-10,-10
0-1,-1,4,0,-20
0-1,-1,32,-20,-50
0-1,-1,27,-20,-40
0-1,-2,18,0,-10
0-1,-11,0,0,0
0-1,-1,33,-10,0
0-1,-1,31,10,10
0-1,-2,45,0,10
0-1,-4,36,-10,10
0-1,-4,32,-20,-10
0-1,-3,8,0,-10
0-1,1,32,20,10
0-1,-4,35,-10,0
0-1,3,41,10,10
1-0,-2,23,0,0
1-0,1,4,0,0
1-0,3,28,0,10
1-0,-1,33,10,10
1-0,-1,38,10,20
1-0,2,20,0,0
1-0,3,9,-10,-20
1-0,5,6,10,-10
1-0,1,35,0,10
1-0,1,2,10,0
1-0,14,13,0,10
1-0,16,2,0,30
1-0,16,2,0,30
1-0,16,0,0,20
0-1,-2,54,-30,-40
0-1,-11,27,-20,-40
1-0,3,35,10,0
1-0,-4,0,0,0
0-1,1,44,-10,20
0-1,-1,26,0,10
0-1,-2,24,0,-10
0-1,-2,31,-10,-20
0-1,-3,5,10,0
0-1,-5,22,0,0
0-1,-5,21,0,-10
0-1,-5,0,0,0
1-0,3,3,0,30
0-1,5,28,10,0
0-1,1,19,10,0
1-0,3,31,10,0
1-0,3,43,-10,-20
0-1,-5,36,0,0
0-1,-7,31,10,0
0-1,-7,14,20,0
0-1,3,0,0,10
0-1,5,3,0,0
0-1,-1,26,0,0
0-1,-1,10,-10,0
0-1,-1,7,-10,-10
0-1,-10,11,0,10
0-1,-18,0,-10,-10
0-1,-1,6,-20,-30
0-1,-2,11,0,-10
0-1,-2,5,0,-10
0-1,2,34,10,10
0-1,-2,0,0,-20
1/2-1/2,-4,26,-10,-10
1/2-1/2,3,15,0,10
1/2-1/2,3,5,0,10
1/2-1/2,3,0,0,0
0-1,3,1,0,10
1-0,4,30,10,0
1-0,7,0,-10,-10
1-0,5,42,-10,-20
1-0,13,0,-10,0
1-0,9,22,0,10
0-1,-3,41,-10,-10
0-1,-11,25,-20,-10
0-1,-9,2,20,0
0-1,1,1,10,-10
0-1,-8,23,10,0
1-0,-1,35,20,10
1-0,7,31,-10,-10
1-0,9,0,0,-30
1-0,1,36,0,0
1-0,-1,30,10,10
1-0,1,40,30,20
1-0,-1,38,0,-10
1-0,1,5,0,10
1-0,2,39,-10,30
1-0,1,37,0,0
1-0,7,0,-10,-10
1-0,1,36,-10,0
1-0,5,3,0,-10
1-0,6,39,0,-10
1-0,8,2,0,-10
0-1,-1,34,0,-10
0-1,-1,28,-10,0
0-1,-3,38,0,0
0-1,-3,20,-10,0
0-1,-3,11,0,10
0-1,-4,20,-10,-20
0-1,-13,36,-10,-20
0-1,-13,0,-10,-30
1-0,1,37,0,0
1-0,12,19,0,10
1-0,12,0,0,0
0-1,3,29,-10,-30
0-1,-8,41,10,30
0-1,-7,38,0,20
0-1,-10,49,10,10
0-1,-10,0,10,20
0-1,-1,42,10,-20
0-1,5,3,10,10
0-1,-10,7,0,-30
1/2-1/2,1,39,0,10
1/2-1/2,2,28,20,20
1/2-1/2,2,17,10,10
1/2-1/2,3,14,10,30
1/2-1/2,3,5,0,10
1/2-1/2,3,0,0,0
1/2-1/2,-1,23,-10,-10
0-1,3,29,0,10
0-1,4,38,0,-10
0-1,2,22,-10,-10
0-1,-4,21,-10,-10
0-1,-2,28,-20,-20
0-1,-2,27,-10,-30
0-1,-3,23,-10,-20
0-1,-3,0,-10,-20
0-1,-1,29,0,0
0-1,-2,3,-10,-20
0-1,-1,5,10,10
0-1,-8,24,0,0
0-1,-8,4,0,0
1-0,1,34,10,0
1-0,7,1,10,0
1-0,2,17,0,0
1-0,2,14,20,20
1-0,2,11,20,30
1-0,3,4,0,0
1-0,2,3,-10,-10
1-0,2,0,-10,0
1-0,1,52,0,-10
1-0,1,5,0,0
0-1,1,38,0,10
0-1,-5,36,-10,0
0-1,-8,18,-10,-10
1-0,1,5,20,20
1-0,4,42,10,20
1-0,4,34,20,10
1-0,8,29,10,30
1-0,15,0,10,10
0-1,-2,55,-10,-10
1-0,-3,37,0,-20
1-0,5,26,0,10
1-0,8,27,-10,-10
1-0,10,4,0,-10
1-0,14,1,0,0
0-1,4,33,20,30
0-1,-9,1,10,-10
1-0,-1,2,10,20
1-0,2,32,0,-10
1-0,1,6,0,-20
0-1,-1,34,10,10
0-1,-3,40,-10,-30
0-1,-10,49,10,-20
0-1,-21,10,0,-30
0-1,1,28,10,10
0-1,1,24,-10,-10
0-1,-4,25,10,10
1/2-1/2,1,32,0,-10
1/2-1/2,-5,2,0,30
1/2-1/2,-5,34,20,10
1/2-1/2,-13,41,20,10
1/2-1/2,-17,0,0,-10
0-1,-2,25,0,0
0-1,1,22,20,20
0-1,-2,21,0,-10
0-1,-1,6,0,0
1-0,-3,21,0,-20
1-0,-3,24,-10,-10
1-0,2,23,0,-10
1-0,3,35,0,30
1-0,12,4,20,20
1-0,10,5,-10,0
1-0,10,8,10,20
1-0,8,7,0,-10
1-0,9,22,10,10
0-1,-3,29,20,0
0-1,-2,41,0,-30
0-1,-10,35,0,-10
1-0,1,35,10,20
1-0,10,32,-10,-20
1-0,12,0,-10,-20
0-1,-3,35,-10,0
1-0,7,28,10,-10
1-0,11,20,0,40
1-0,10,20,-10,20
1-0,1,32,10,10
1-0,-7,38,0,-10
1-0,2,22,10,10
1-0,-4,30,-10,-20
1-0,-8,40,-20,-40
1-0,2,2,-20,-40
1-0,2,22,-20,-30
0-1,3,36,0,30
0-1,1,0,0,10
0-1,-3,36,10,10
0-1,-2,43,10,0
0-1,6,43,10,-20
1-0,1,4,-20,-30
1-0,10,8,-20,-10
1-0,-2,35,10,-10
1-0,7,4,0,-10
1-0,4,46,-20,-20
0-1,-2,35,-20,-10
0-1,-14,35,0,0
0-1,-19,0,-10,-10
0-1,3,41,0,30
0-1,-4,35,0,-10
0-1,-6,34,0,-10
0-1,-7,32,10,10
0-1,-2,39,-20,-40
0-1,-1,30,-20,-20
0-1,-1,0,-10,-30
0-1,-3,44,10,10
1-0,3,30,20,20
1-0,1,31,0,-10
1-0,1,0,-10,-10
0-1,-1,10,20,10
0-1,-1,5,10,10
1-0,3,33,-10,-10
1-0,7,17,0,0
1-0,8,12,0,-10
1-0,11,23,10,30
0-1,5,37,0,-20
0-1,2,0,0,-20
0-1,6,34,10,0
0-1,-10,36,10,0
0-1,-12,45,10,-20
0-1,-12,12,10,-10
0-1,-5,30,-10,0
0-1,-5,32,-10,0
0-1,-6,51,-10,-20
0-1,-7,0,-10,-20
1-0,1,31,-10,-30
1-0,3,5,10,-10
1-0,5,15,-10,0
0-1,-4,29,0,0
0-1,-7,2,10,0
0-1,-6,21,0,-20
0-1,-17,1,0,-10
1-0,1,3,10,20
1-0,1,41,-10,-10
1-0,2,3,0,0
1-0,-2,28,0,30
1-0,-4,21,20,30
1-0,-5,26,0,10
1-0,-7,24,-10,-10
1-0,-3,2,0,0
0-1,-3,30,0,-10
0-1,-8,0,10,-10
0-1,-1,33,-10,0
0-1,-2,44,0,0
1-0,2,53,10,0
1-0,3,35,0,-10
1-0,3,2,0,0
0-1,-7,44,0,-10
0-1,-20,43,0,-20
0-1,-34,58,-10,-30
0-1,-43,0,0,-20
0-1,2,33,0,10
1-0,1,24,-10,-20
1-0,1,15,10,-10
1-0,2,4,0,30
1-0,2,3,0,30
1-0,10,2,0,20
1-0,6,14,0,10
1-0,-1,53,0,-10
1-0,3,3,0,-20
0-1,-2,38,20,30
0-1,-3,34,0,10
0-1,-3,33,0,30
0-1,-6,18,-10,-10
1-0,9,30,0,0
1-0,12,0,10,0
1-0,2,35,0,10
1-0,-2,47,0,20
1-0,4,27,0,-30
1-0,3,22,0,-10
0-1,-3,37,20,40
0-1,-4,41,10,10
1-0,4,30,-10,-20
1-0,9,19,-10,-10
0-1,-5,46,-10,-10
0-1,-10,35,0,-10
0-1,-10,4,0,-30
1-0,-1,34,10,10
1-0,-1,24,10,0
1-0,1,18,-10,-10
0-1,4,33,10,20
0-1,-1,6,20,10
0-1,1,0,10,30
0-1,-1,34,0,10
0-1,6,0,0,30
0-1,2,30,10,0
0-1,-6,33,0,10
0-1,-9,29,0,30
0-1,-14,0,0,20
0-1,2,35,20,0
0-1,-1,17,-10,0
0-1,-1,8,0,0
0-1,-2,8,0,0
0-1,-2,3,0,-10
1-0,-3,31,20,40
1-0,3,16,10,0
1-0,5,3,10,10
1-0,3,25,0,10
1-0,2,32,0,-20
1-0,4,0,-10,-30
1-0,3,26,0,0
1-0,1,30,10,30
1-0,10,8,10,20
1-0,5,15,10,10
0-1,-9,47,10,20
0-1,-9,41,0,-20
0-1,-4,37,-10,-10
0-1,-8,0,10,10
1-0,-3,39,20,0
1-0,-3,36,10,-20
1-0,-4,28,-10,-40
1-0,-5,18,-10,-50
1-0,-1,34,0,10
1-0,-1,40,0,20
1-0,4,24,0,10
1-0,-1,0,-20,-10
0-1,-4,17,0,10
0-1,-4,15,0,0
0-1,-5,18,0,0
0-1,-7,6,0,0
0-1,2,29,10,20
0-1,6,31,20,50
0-1,-1,35,10,20
1-0,7,2,0,-10
1-0,7,0,0,-10
1-0,2,52,-10,-10
1-0,5,39,0,10
1-0,8,4,-10,10
1-0,8,17,0,10
1-0,5,28,10,10
1-0,6,26,10,20
0-1,3,47,-10,-10
0-1,3,25,10,-10
0-1,4,22,0,0
0-1,13,3,-10,10
0-1,14,40,0,30
0-1,-1,34,10,10
1-0,3,52,10,-20
1-0,8,14,10,-10
1-0,3,33,0,10
1-0,4,12,10,10
1-0,2,0,10,10
1-0,-2,44,-10,10
1-0,2,0,10,20
0-1,-3,39,10,20
0-1,-6,33,0,10
0-1,-12,21,0,10
0-1,1,37,10,30
0-1,-2,27,0,0
0-1,-5,34,0,0
0-1,-3,37,0,10
0-1,-3,25,-10,10
1-0,1,31,0,0
1-0,4,40,10,10
1-0,4,29,0,0
1-0,2,33,10,30
1-0,2,3,10,10
1-0,2,1,0,0
0-1,-1,29,20,10
0-1,-2,0,0,0
1-0,1,37,20,20
1-0,-3,0,10,10
1-0,1,39,10,20
1-0,5,4,10,0
1-0,4,17,10,30
1-0,4,16,10,20
0-1,3,34,0,-30
0-1,2,32,10,20
0-1,-4,29,0,-10
0-1,-4,21,0,-30
1-0,1,4,-20,10
